RPM,COOLANT_TEMP,MAF,THROTTLE_POS,INTAKE_TEMP,TIMING_ADVANCE,ENGINE_LOAD,ELM_VOLTAGE,SPEED,O2_S1_WR_CURRENT,O2_S5_WR_CURRENT,O2_B1S2,O2_B2S2,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,SHORT_FUEL_TRIM_2,LONG_FUEL_TRIM_2
593.25,87,3.75,12.156862745098039,33,4.5,27.84313725490196,13.7,0.0,-0.0078125,-0.00390625,0.44,0.44,0.78125,1.5625,0.78125,-2.34375
592.5,87,3.75,12.156862745098039,33,3.5,27.84313725490196,13.6,0.0,-0.0078125,-0.015625,0.44,0.44,0.78125,1.5625,0.78125,-2.34375
601.75,87,3.75,12.156862745098039,33,4.5,27.84313725490196,13.6,0.0,-0.01171875,-0.01953125,0.44,0.445,0.78125,1.5625,0.0,-2.34375
595.0,87,3.75,12.156862745098039,33,3.5,27.84313725490196,13.6,0.0,-0.01171875,-0.03125,0.44,0.445,0.0,1.5625,0.0,-2.34375
590.75,87,3.75,12.156862745098039,33,3.5,27.84313725490196,13.6,0.0,-0.015625,-0.015625,0.44,0.445,0.0,1.5625,0.0,-2.34375
596.75,87,3.75,12.156862745098039,33,4.5,27.84313725490196,13.6,0.0,-0.01171875,-0.015625,0.445,0.44,0.0,1.5625,0.0,-2.34375
595.0,87,3.75,12.156862745098039,33,4.5,27.84313725490196,13.7,0.0,-0.015625,-0.0078125,0.44,0.445,0.0,1.5625,0.0,-2.34375
601.0,87,3.75,12.156862745098039,33,4.5,27.45098039215686,13.6,0.0,-0.02734375,-0.0078125,0.44,0.44,0.0,1.5625,0.0,-2.34375
603.5,87,3.75,12.156862745098039,33,5.0,27.45098039215686,13.6,0.0,-0.0078125,-0.015625,0.44,0.44,0.0,1.5625,0.0,-2.34375
601.75,87,3.75,12.156862745098039,33,4.5,27.84313725490196,13.6,0.0,0.00390625,0.0,0.445,0.445,0.0,1.5625,0.0,-2.34375
596.75,87,3.75,12.156862745098039,33,3.5,27.45098039215686,13.6,0.0,-0.00390625,-0.00390625,0.445,0.445,0.0,1.5625,0.0,-2.34375
591.25,87,3.75,12.156862745098039,33,5.0,27.84313725490196,13.6,0.0,-0.01171875,-0.01171875,0.44,0.44,0.0,1.5625,0.0,-2.34375
596.75,87,3.75,12.156862745098039,33,4.5,27.45098039215686,13.7,0.0,-0.01171875,0.0,0.44,0.44,0.0,1.5625,0.0,-2.34375
602.25,87,3.75,12.156862745098039,33,5.0,27.45098039215686,13.6,0.0,-0.02734375,-0.01171875,0.44,0.445,0.0,1.5625,0.0,-2.34375
598.0,87,3.75,12.156862745098039,33,4.5,27.45098039215686,13.6,0.0,-0.00390625,-0.015625,0.44,0.445,0.0,1.5625,0.0,-2.34375
599.75,87,3.75,12.156862745098039,33,3.5,27.45098039215686,13.7,0.0,-0.01171875,-0.01953125,0.44,0.445,0.0,1.5625,0.0,-2.34375
600.5,87,3.75,12.156862745098039,33,4.5,27.45098039215686,13.6,0.0,-0.02734375,-0.03125,0.44,0.44,0.0,1.5625,-0.78125,-2.34375
596.75,87,3.75,12.156862745098039,33,4.5,27.45098039215686,13.7,0.0,-0.01953125,-0.01953125,0.44,0.445,0.0,1.5625,-0.78125,-2.34375
591.25,87,3.5,12.156862745098039,33,3.5,27.84313725490196,13.5,0.0,-0.0234375,-0.0078125,0.44,0.445,0.0,1.5625,-0.78125,-2.34375
600.5,87,3.5,12.156862745098039,33,4.5,27.84313725490196,13.7,0.0,-0.0234375,-0.00390625,0.445,0.445,-0.78125,1.5625,-0.78125,-2.34375
595.0,87,3.75,12.156862745098039,33,4.5,27.84313725490196,13.7,0.0,0.0,-0.00390625,0.445,0.445,0.0,1.5625,-0.78125,-2.34375
594.25,87,3.75,12.156862745098039,33,4.5,27.84313725490196,13.7,0.0,-0.00390625,-0.01171875,0.445,0.44,0.0,1.5625,-0.78125,-2.34375
597.5,87,3.75,12.156862745098039,33,4.5,27.84313725490196,13.6,0.0,-0.01171875,0.0,0.445,0.44,0.0,1.5625,0.0,-2.34375
600.5,87,3.75,12.156862745098039,33,4.5,27.45098039215686,13.6,0.0,0.0,0.0078125,0.445,0.44,0.0,1.5625,0.0,-2.34375
600.5,88,3.75,12.156862745098039,33,3.5,27.45098039215686,13.6,0.0,0.0,-0.015625,0.44,0.44,0.0,1.5625,0.0,-2.34375
599.25,88,3.75,12.156862745098039,33,4.5,27.45098039215686,13.6,0.0,-0.00390625,-0.01171875,0.44,0.44,0.0,1.5625,0.0,-2.34375
598.0,88,3.75,12.156862745098039,33,5.0,27.45098039215686,13.6,0.0,-0.00390625,-0.015625,0.44,0.44,0.0,1.5625,0.0,-2.34375
645.0,88,26.5,21.96078431372549,33,6.0,72.54901960784314,13.7,0.0,-0.296875,-0.375,0.445,0.445,0.0,1.5625,1.5625,-2.34375
2965.0,88,12.5,16.470588235294116,33,39.5,23.92156862745098,13.7,0.0,-0.96484375,-0.1875,0.44,0.445,0.0,1.5625,3.125,-2.34375
3098.75,88,39.25,25.49019607843137,33,24.0,49.80392156862745,13.7,0.0,0.03515625,-0.15625,0.445,0.445,0.0,1.5625,0.0,-2.34375
3972.0,88,20.75,18.823529411764707,33,6.0,20.0,13.6,0.0,-0.4375,-0.31640625,0.445,0.445,0.0,1.5625,0.0,-2.34375
3514.25,88,111.0,52.94117647058823,33,-1.5,100.0,13.6,0.0,1.0078125,1.83984375,0.445,0.445,0.0,1.5625,0.0,-2.34375
3500.75,87,17.75,18.03921568627451,33,4.5,18.03921568627451,13.7,0.0,-0.29296875,-0.10546875,0.445,0.44,-3.125,1.5625,-0.78125,-2.34375
2601.75,87,14.0,16.470588235294116,33,15.0,18.03921568627451,13.6,0.0,-0.0625,-0.1015625,0.445,0.445,-5.46875,1.5625,-5.46875,-2.34375
2429.0,87,16.5,17.647058823529413,33,38.0,22.745098039215687,13.7,0.0,0.0390625,0.03515625,0.445,0.445,-4.6875,1.5625,-3.90625,-2.34375
2601.25,87,17.25,18.03921568627451,33,35.0,22.745098039215687,13.7,0.0,0.00390625,0.01953125,0.445,0.44,-1.5625,1.5625,-1.5625,-2.34375
2557.75,87,14.0,16.470588235294116,33,1.5,18.431372549019606,13.6,0.0,-0.05859375,-0.06640625,0.445,0.44,-3.125,1.5625,-3.90625,-2.34375
1552.5,87,7.5,14.117647058823529,33,-5.5,20.392156862745097,13.6,0.0,-0.04296875,-0.01171875,0.445,0.445,-5.46875,1.5625,-3.90625,-2.34375
866.5,87,4.0,12.549019607843137,33,23.0,21.176470588235293,13.6,0.0,0.04296875,0.03515625,0.445,0.44,-3.90625,1.5625,-3.125,-2.34375
733.0,87,4.0,12.549019607843137,33,27.5,22.745098039215687,13.6,0.0,0.0234375,-0.0078125,0.44,0.445,-3.125,1.5625,-3.125,-2.34375
701.75,87,4.75,12.941176470588236,33,26.0,27.058823529411764,13.6,0.0,0.03125,0.015625,0.445,0.44,-2.34375,1.5625,-2.34375,-2.34375
912.25,87,7.0,14.117647058823529,33,25.5,30.19607843137255,13.6,0.0,0.046875,0.09765625,0.445,0.445,-0.78125,1.5625,1.5625,-2.34375
1292.0,87,10.25,15.686274509803921,33,28.5,27.84313725490196,13.6,0.0,0.0,-0.03125,0.44,0.445,0.0,1.5625,0.78125,-2.34375
1735.0,87,13.0,16.470588235294116,33,26.0,24.313725490196077,13.6,0.0,-0.02734375,-0.01953125,0.445,0.445,-2.34375,1.5625,-0.78125,-2.34375
