RPM,FuelLoad,VE_Current,Lambda_Target,Lambda_Measured,Lambda_Error,CLT,MAT,Lambda_Error_Abs
1942.0,48.0,42.1525,1.0527307692307692,0.908,-0.13748127580285702,78.0,-27.0,0.13748127580285702
1955.0,52.0,46.45,1.0294551282051283,0.969,-0.058725365048725164,78.0,-26.0,0.058725365048725164
1969.0,50.0,44.309999999999995,1.0372692307692308,0.969,-0.065816307612444,78.0,-26.0,0.065816307612444
1973.0,48.0,41.80375,1.053326923076923,0.908,-0.13796943749657678,78.0,-26.0,0.13796943749657678
1964.0,51.0,45.360000000000014,1.0335256410256413,0.985,-0.046951559883396624,78.0,-26.0,0.046951559883396624
1961.0,50.0,44.39,1.0369615384615385,0.985,-0.05010941730647977,78.0,-26.0,0.05010941730647977
2000.0,49.0,42.75,1.0461538461538464,0.962,-0.08044117647058852,78.0,-26.0,0.08044117647058852
2016.0,50.0,44.16,1.039076923076923,0.977,-0.059742374888954654,78.0,-26.0,0.059742374888954654
2004.0,48.0,41.545,1.053923076923077,0.969,-0.08057805999562082,78.0,-26.0,0.08057805999562082
1990.0,51.0,45.10000000000001,1.0347756410256412,0.969,-0.06356512312219319,78.0,-26.0,0.06356512312219319
2003.0,49.0,42.78187500000001,1.0462403846153847,0.969,-0.0738266136073304,78.0,-26.0,0.0738266136073304
2034.0,50.0,44.34,1.0397692307692308,0.969,-0.06806243989050828,78.0,-26.0,0.06806243989050828
2034.0,47.0,40.65375000000001,1.0618653846153847,0.969,-0.08745495046815303,78.0,-26.0,0.08745495046815303
2024.0,50.0,44.24,1.0393846153846154,0.969,-0.06771758436944937,78.0,-25.0,0.06771758436944937
2023.0,48.0,41.75875,1.0542884615384616,0.969,-0.0808967039381282,78.0,-25.0,0.0808967039381282
2041.0,50.0,44.41,1.0400384615384617,0.977,-0.06061166376983115,78.0,-25.0,0.06061166376983115
2054.0,47.0,40.89125,1.0620576923076923,0.977,-0.08008763829286403,78.0,-25.0,0.08008763829286403
2054.0,49.0,43.32375,1.0477115384615385,0.954,-0.08944402635781291,78.0,-25.0,0.08944402635781291
2054.0,48.0,42.1075,1.0548846153846154,0.977,-0.0738323549786707,78.0,-25.0,0.0738323549786707
2059.0,48.0,42.16375,1.0549807692307693,0.985,-0.06633369182814133,78.0,-25.0,0.06633369182814133
2062.0,49.0,43.40875,1.047942307692308,0.915,-0.1268603306846753,78.0,-25.0,0.1268603306846753
2072.0,47.0,41.105000000000004,1.0622307692307693,0.985,-0.07270620609747275,78.0,-25.0,0.07270620609747275
2077.0,48.0,42.36625,1.055326923076923,0.977,-0.07422052954789807,78.0,-25.0,0.07422052954789807
2075.0,46.0,39.9375,1.0692307692307692,0.931,-0.1292805755395683,78.0,-25.0,0.1292805755395683
2075.0,47.0,41.140625,1.0622596153846153,1.0,-0.058610545372256115,78.0,-25.0,0.058610545372256115
2093.0,48.0,42.54624999999999,1.0556346153846154,0.992,-0.06028091013426126,78.0,-25.0,0.06028091013426126
2102.0,46.0,40.275,1.0692307692307692,0.969,-0.09374100719424461,78.0,-25.0,0.09374100719424461
2094.0,47.0,41.36625,1.0624423076923077,1.008,-0.051242601408221296,78.0,-25.0,0.051242601408221296
2094.0,48.0,42.557500000000005,1.055653846153846,1.008,-0.0451415455241009,78.0,-25.0,0.0451415455241009
2099.0,46.0,40.2375,1.0692307692307692,1.008,-0.057266187050359685,78.0,-25.0,0.057266187050359685
2111.0,47.0,41.568124999999995,1.0626057692307693,0.985,-0.07303345368334384,78.0,-25.0,0.07303345368334384
2115.0,47.0,41.615625,1.0626442307692308,1.008,-0.051422883771433725,78.0,-25.0,0.051422883771433725
2112.0,45.0,39.56666666666666,1.0692307692307692,1.008,-0.057266187050359685,78.0,-25.0,0.057266187050359685
2107.0,46.0,40.3375,1.0692307692307692,1.015,-0.05071942446043173,78.0,-25.0,0.05071942446043173
2108.0,47.0,41.5325,1.062576923076923,1.008,-0.051362797263546534,78.0,-25.0,0.051362797263546534
2118.0,45.0,39.641666666666666,1.0692307692307692,1.0,-0.0647482014388489,78.0,-25.0,0.0647482014388489
2125.0,46.0,40.5625,1.0692307692307692,0.992,-0.07223021582733812,78.0,-25.0,0.07223021582733812
2131.0,47.0,41.805625,1.062798076923077,1.0,-0.059087495815653535,78.0,-25.0,0.059087495815653535
2113.0,45.0,39.579166666666666,1.0692307692307694,1.008,-0.05726618705035988,78.0,-25.0,0.05726618705035988
2129.0,45.0,39.77916666666667,1.0692307692307692,1.0,-0.0647482014388489,78.0,-25.0,0.0647482014388489
2138.0,46.0,40.725,1.0692307692307692,0.931,-0.1292805755395683,78.0,-25.0,0.1292805755395683
2112.0,35.0,30.846666666666664,1.0705128205128207,0.969,-0.09482634730538941,77.0,-25.0,0.09482634730538941
2112.0,35.0,30.846666666666664,1.0705128205128207,0.977,-0.08735329341317384,77.0,-25.0,0.08735329341317384
2096.0,33.0,28.939999999999998,1.0730769230769233,0.992,-0.07555555555555572,77.0,-25.0,0.07555555555555572
2111.0,34.0,29.99833333333333,1.0717948717948718,0.985,-0.08098086124401913,77.0,-25.0,0.08098086124401913
